Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
X28,0,8,8.0,35.25599999999999,10.0,0.09999999999999432,10.0,176000.0,20.0,13,2.78,785.0,330.0,0.0,0.0,787.625,225,218
X29,0,8,16.0,32.856,13.0,0.0,17.0,143000.0,60.0,26,2.79,860.0,334.0,0.0,0.0,854.25,210,212
X30,0,8,9.0,45.455999999999996,28.0,0.09999999999999432,32.0,235000.0,21.0,0,2.78,750.0,325.0,11.6,11.9,819.8723118279569,269,282
BMC,0,9,10.0,121.7536,15.0,1.5999999999999943,3.0,200000.0,20.0,0,3.73,740.0,330.0,23.2,0.0,817.1498194945849,313,329
Batmaja,0,9,7.0,119.8976,20.0,0.0,37.0,353333.3333333333,5.0,83,3.11,841.0,310.0,4.8,0.0,810.0025542784161,179,109
Mioduszewski,0,9,12.0,26.7136,20.0,0.0,17.0,143666.66666666666,20.0,0,3.52,870.0,355.0,14.0,14.1,866.2393162393163,236,211
Najda,0,9,0.0,62.7136,5.0,0.0,1.0,268333.3333333333,15.0,11,1.84,0.0,340.0,15.3,0.0,651.6360544217686,0,221
Radw,0,9,5.0,18.833599999999997,9.0,0.4000000000000057,0.0,133333.3333333333,10.0,0,2.25,700.0,300.0,0.0,0.0,755.0,217,189
X21,0,9,15.0,113.92960000000001,25.0,0.0,11.0,250000.0,26.0,4,3.73,859.0,328.0,0.0,0.0,817.0,256,247
X22,0,9,20.0,107.3536,25.0,0.0,17.0,250000.0,25.0,0,3.74,780.0,335.0,0.0,0.0,814.5,320,288
X23,0,9,11.0,109.6576,20.0,0.0,15.0,250000.0,15.0,0,3.74,871.0,340.0,0.0,0.0,893.875,247,213
X24,0,9,11.0,107.6576,20.0,0.0,15.0,250000.0,15.0,1,3.74,888.0,340.0,0.0,0.0,844.625,234,218
